dogodek,kvota,drzava,sportnik
"The Masters
        - World",2.75,ENG,Barry Hawkins
"PGA Tour - Sony Open
        - World",4.00,USA,Brandt Snedeker
"Heavyweight
        - World",1.05,ENG,David Haye
"Heavyweight
        - World",1.72,UKR,Vyacheslav Glazkov
"Welterweight
        - World",1.13,USA,Danny Garcia
"Super Lightweight
        - World",1.53,ENG,Tommy Martin
"Catchweight
        - World",1.01,ENG,George Groves
"Lightweight
        - World",1.18,ENG,Terry Flanagan
"Cruiserweight 
        - World",1.53,GER,Marco Huck
"Heavyweight
        - World",1.22,UZB,Ruslan Chagaev
"Welterweight
        - World",1.36,PHI,Manny Pacquiao
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo
        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix
        - World",4.50,GER,John Degenkolb
"Tour de France
        - World",3.25,GER,Marcel Kittel
"Road - Men
        - Olympics",3.00,GER,Tony Martin
"12.5km Mass Start - Women
        - World",2.50,GER,Laura Dahlmeier
"PDC - The Masters
        - World",2.55,SCO,Robert Thornton
"Ultimate Fighting Championship
        - World",1.25,USA,Chris Wade
"Ultimate Fighting Championship
        - World",1.22,USA,Anthony Johnson
"Ultimate Fighting Championship
        - World",1.30,BRA,Anderson Silva
"ITF Women - Stuttgart-Stammheim (GER) - Hard - Indoor
        - World",1.45,RUS,Anna Blinkova
"ITF Men - Schwieberdingen (GER) - Hard
        - World",2.10,CZE,Petr Michnev
"ITF Women - Stuttgart-Stammheim (GER) - Doubles - Hard - Indoor
        - World",1.83,TUN,Ons Jabeur
"ATP Challenger - Buenos Aires (ARG) - Clay
        - World",2.00,ARG,Facundo Bagnis
"ATP Challenger - Buenos Aires (ARG) - Doubles - Clay
        - World",1.15,RUS,Mikhail Youzhny
"Australian Open - Women
        - World",3.10,ESP,Lourdes Dominguez Lino
"World Championships
        - World",2.10,ESP/Honda,Marc Marquez
