sportnik,drzava,kvota
Oceane Dodin,FRA,2.25
Serena Williams,USA,1.08
Camila Giorgi,ITA,7.00
Anna Tatishvili,USA,2.10
Irina Falconi,USA,1.67
Yulia Putintseva,KAZ,7.25
Caroline Wozniacki,DEN,1.07
Monica Niculescu,ROU,1.15
Teliana Pereira,BRA,5.00
Mariana Duque Marino,COL,1.30
Xinyun Han,CHN,3.30
Urszula Radwanska,POL,2.00
Ana Konjuh,CRO,1.75
Agnieszka Radwanska,POL,1.02
Christina McHale,USA,11.50
Belinda Bencic,SUI,1.19
Alison Riske,USA,4.40
Daniela Hantuchova,SVK,4.50
Svetlana Kuznetsova,RUS,1.18
Ajla Tomljanovic,CRO,2.40
Kateryna Bondarenko,UKR,1.53
Heather Watson,GBR,1.65
Timea Babos,HUN,2.15
Elizaveta Kulichkova,RUS,4.50
Andrea Petkovic,GER,1.18
Aliaksandra Sasnovich,BLR,1.87
Evgeniya Rodina,RUS,1.87
Magda Linette,POL,3.30
Monica Puig,PUR,1.30
Marc Marquez,ESP/Honda,2.10
Jorge Lorenzo,ESP/Yamaha,3.20
Valentino Rossi,ITA/Yamaha,6.50
Daniel Pedrosa,ESP/Honda,8.00
Andrea Iannone,ITA/Ducati,29.00
Andrea Dovizioso,ITA/Ducati,34.00
Bradley Smith,GBR/Yamaha,51.00
Tito Rabat,ESP/Honda,51.00
Aleix Espargaro,ESP/Suzuki,67.00
Pol Espargaro,ESP/Yamaha,67.00
Scott Redding,GBR/Ducati,81.00
Maverick Vinales,ESP/Suzuki,81.00
Cal Crutchlow,GBR/Honda,101.00
Jack Miller,AUS/Honda,201.00
Stefan Bradl,GER/Aprilia,301.00
Loris Baz,FRA/Ducati,301.00
Alvaro Bautista,ESP/Aprilia,301.00
Danilo Petrucci,ITA/Ducati,301.00
Yonny Hernandez,COL/Ducati,751.00
Hector Barbera,ESP/Ducati,1001.00
Eugene Laverty,IRL/Ducati,1001.00
Alex de Angelis,RSM/ART,1001.00
Tai Woffinden,GBR,3.00
